dataset,rare_class,split_mode,seed,rare_train_size,split,n_total,n_rare,n_nonrare,rare_pct_in_split,train_labeled_rare,train_unlabeled_rare,train_labeled_rare_pct_of_train_rare
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.10,train,4821,174,4647,3.61,17,157,9.77
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.10,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.10,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,all,train,4821,174,4647,3.61,174,0,100.0
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,all,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,all,test,935,71,864,7.59,,,
pancreas_baron,gamma,batch_heldout,42,0.01,train,5542,106,5436,1.91,5,101,4.72
pancreas_baron,gamma,batch_heldout,42,0.01,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,42,0.01,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,42,0.05,train,5542,106,5436,1.91,5,101,4.72
pancreas_baron,gamma,batch_heldout,42,0.05,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,42,0.05,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,42,0.10,train,5542,106,5436,1.91,10,96,9.43
pancreas_baron,gamma,batch_heldout,42,0.10,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,42,0.10,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,42,all,train,5542,106,5436,1.91,106,0,100.0
pancreas_baron,gamma,batch_heldout,42,all,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,42,all,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,43,0.01,train,5542,106,5436,1.91,5,101,4.72
pancreas_baron,gamma,batch_heldout,43,0.01,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,43,0.01,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,43,0.05,train,5542,106,5436,1.91,5,101,4.72
pancreas_baron,gamma,batch_heldout,43,0.05,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,43,0.05,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,43,0.10,train,5542,106,5436,1.91,10,96,9.43
pancreas_baron,gamma,batch_heldout,43,0.10,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,43,0.10,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,43,all,train,5542,106,5436,1.91,106,0,100.0
pancreas_baron,gamma,batch_heldout,43,all,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,43,all,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,44,0.01,train,5542,106,5436,1.91,5,101,4.72
pancreas_baron,gamma,batch_heldout,44,0.01,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,44,0.01,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,44,0.05,train,5542,106,5436,1.91,5,101,4.72
pancreas_baron,gamma,batch_heldout,44,0.05,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,44,0.05,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,44,0.10,train,5542,106,5436,1.91,10,96,9.43
pancreas_baron,gamma,batch_heldout,44,0.10,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,44,0.10,test,1724,86,1638,4.99,,,
pancreas_baron,gamma,batch_heldout,44,all,train,5542,106,5436,1.91,106,0,100.0
pancreas_baron,gamma,batch_heldout,44,all,validation,1303,63,1240,4.83,,,
pancreas_baron,gamma,batch_heldout,44,all,test,1724,86,1638,4.99,,,
pancreas_integrated,endothelial,batch_heldout,42,0.01,train,7936,243,7693,3.06,5,238,2.06
pancreas_integrated,endothelial,batch_heldout,42,0.01,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,42,0.01,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,42,0.05,train,7936,243,7693,3.06,12,231,4.94
pancreas_integrated,endothelial,batch_heldout,42,0.05,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,42,0.05,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,42,0.10,train,7936,243,7693,3.06,24,219,9.88
pancreas_integrated,endothelial,batch_heldout,42,0.10,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,42,0.10,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,42,all,train,7936,243,7693,3.06,243,0,100.0
pancreas_integrated,endothelial,batch_heldout,42,all,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,42,all,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,43,0.01,train,7936,243,7693,3.06,5,238,2.06
pancreas_integrated,endothelial,batch_heldout,43,0.01,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,43,0.01,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,43,0.05,train,7936,243,7693,3.06,12,231,4.94
pancreas_integrated,endothelial,batch_heldout,43,0.05,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,43,0.05,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,43,0.10,train,7936,243,7693,3.06,24,219,9.88
pancreas_integrated,endothelial,batch_heldout,43,0.10,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,43,0.10,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,43,all,train,7936,243,7693,3.06,243,0,100.0
pancreas_integrated,endothelial,batch_heldout,43,all,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,43,all,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,44,0.01,train,7936,243,7693,3.06,5,238,2.06
pancreas_integrated,endothelial,batch_heldout,44,0.01,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,44,0.01,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,44,0.05,train,7936,243,7693,3.06,12,231,4.94
pancreas_integrated,endothelial,batch_heldout,44,0.05,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,44,0.05,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,44,0.10,train,7936,243,7693,3.06,24,219,9.88
pancreas_integrated,endothelial,batch_heldout,44,0.10,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,44,0.10,test,1724,23,1701,1.33,,,
pancreas_integrated,endothelial,batch_heldout,44,all,train,7936,243,7693,3.06,243,0,100.0
pancreas_integrated,endothelial,batch_heldout,44,all,validation,1303,7,1296,0.54,,,
pancreas_integrated,endothelial,batch_heldout,44,all,test,1724,23,1701,1.33,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.01,train,7464,208,7256,2.79,5,203,2.4
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.01,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.01,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.05,train,7464,208,7256,2.79,10,198,4.81
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.05,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.05,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.10,train,7464,208,7256,2.79,20,188,9.62
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.10,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,0.10,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,all,train,7464,208,7256,2.79,208,0,100.0
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,all,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,42,all,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.01,train,7464,208,7256,2.79,5,203,2.4
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.01,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.01,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.05,train,7464,208,7256,2.79,10,198,4.81
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.05,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.05,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.10,train,7464,208,7256,2.79,20,188,9.62
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.10,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,0.10,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,all,train,7464,208,7256,2.79,208,0,100.0
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,all,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,43,all,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.01,train,7464,208,7256,2.79,5,203,2.4
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.01,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.01,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.05,train,7464,208,7256,2.79,10,198,4.81
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.05,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.05,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.10,train,7464,208,7256,2.79,20,188,9.62
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.10,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,0.10,test,1781,65,1716,3.65,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,all,train,7464,208,7256,2.79,208,0,100.0
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,all,validation,887,34,853,3.83,,,
tabula_lung_endo,endothelial cell of lymphatic vessel,batch_heldout,44,all,test,1781,65,1716,3.65,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.01,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.01,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.01,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.05,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.05,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.05,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.10,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.10,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,0.10,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,all,train,14277,52,14225,0.36,52,0,100.0
tabula_sapiens_stomach,mast cell,batch_heldout,42,all,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,42,all,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.01,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.01,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.01,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.05,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.05,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.05,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.10,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.10,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,0.10,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,all,train,14277,52,14225,0.36,52,0,100.0
tabula_sapiens_stomach,mast cell,batch_heldout,43,all,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,43,all,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.01,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.01,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.01,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.05,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.05,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.05,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.10,train,14277,52,14225,0.36,5,47,9.62
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.10,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,0.10,test,9575,32,9543,0.33,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,all,train,14277,52,14225,0.36,52,0,100.0
tabula_sapiens_stomach,mast cell,batch_heldout,44,all,validation,9212,884,8328,9.6,,,
tabula_sapiens_stomach,mast cell,batch_heldout,44,all,test,9575,32,9543,0.33,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.01,train,24282,315,23967,1.3,5,310,1.59
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.01,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.01,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.05,train,24282,315,23967,1.3,15,300,4.76
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.05,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.05,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.10,train,24282,315,23967,1.3,31,284,9.84
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.10,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,0.10,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,all,train,24282,315,23967,1.3,315,0,100.0
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,all,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,42,all,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.01,train,24282,315,23967,1.3,5,310,1.59
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.01,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.01,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.05,train,24282,315,23967,1.3,15,300,4.76
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.05,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.05,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.10,train,24282,315,23967,1.3,31,284,9.84
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.10,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,0.10,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,all,train,24282,315,23967,1.3,315,0,100.0
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,all,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,43,all,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.01,train,24282,315,23967,1.3,5,310,1.59
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.01,validation,9715,55,9660,0.57,,,
